Zip_1,Zip_2,google_api_distance,zipcode_api_distance,C-D
32212,25802,523.702545098,523.297,0.405545098
85309,38813,6344.69951073,"Zip code ""38813"" not found.",N/A
23459,44341,4676.42423963,"Zip code ""44341"" not found.",N/A
33608,75243,915.73981044,914.895,0.84481044
33608,81650,1689.12252992,1673.013,16.10952992
33608,11788,1038.49094605,1032.805,5.68594605
33608,96754,4751.69868609,4752.504,-0.80531391
33608,90012,2148.73581755,2148.069,0.66681755
33608,30188,447.374334864,442.287,5.087334864
33608,80239,1517.08140944,1514.561,2.52040944
33608,49003,1009.74647831,1004.608,5.13847831
33608,41164,723.31529636,715.381,7.93429636
76544,43218,1033.70083483,1028.692,5.00883483
23454,83303,2061.58130271,2063.067,-1.48569729
29904,55473,1106.78254205,1094.281,12.50154205
29904,24739,344.422037119,336.94,7.482037119
93943,72765,1538.01834105,1537.479,0.53934105
99703,94557,2145.40169512,2147.424,-2.02230488
76311,20177,1212.46868893,1213.177,-0.70831107
12866,34477,1068.12316784,1066.685,1.43816784
92243,27420,2042.18595899,2040.495,1.69095899
92243,98035,1068.84862162,1066.906,1.94262162
96818,68138,3813.83720349,3813.624,0.21320349
87117,55473,947.817430745,981.856,-34.038569255
87117,75033,571.036694663,572.701,-1.664305337
98448,44256,2029.90026248,2030.023,-0.12273752
98448,78109,1776.73962459,1779.838,-3.09837541
98448,49314,1798.83469044,1798.895,-0.06030956
98448,84655,723.002918026,730.795,-7.792081974
98448,84054,678.690137802,684.039,-5.348862198
98448,50131,1457.53709372,1458.217,-0.67990628
98448,55345,1389.03157328,1388.926,0.10557328
98448,94577,651.456356733,659.068,-7.611643267
98448,80537,976.445359818,980.481,-4.035640182
98448,36117,2152.18577053,2156.364,-4.17822947
98448,44035,2012.02530408,2010.346,1.67930408
98448,67401,1369.1136431,1372.299,-3.1853569
98448,50021,1463.66038371,1464.297,-0.63661629
98448,19036,2376.793432,2376.025,0.768432
98448,82941,681.357054452,687.489,-6.131945548
98448,32806,2544.90840415,2546.51,-1.60159585
98448,14526,2178.67161401,2178.076,0.59561401
78234,49314,1153.33829475,1153.097,0.24129475
78234,46401,1044.35862642,1042.955,1.40362642
33040,85001,1916.24164956,1915.657,0.58464956
33040,13201,1317.77880868,1317.912,-0.13319132
45324,49204,169.12323322,168.626,0.49723322
20762,26531,170.476024537,170.68,-0.203975463
39705,27216,534.401868408,538.48,-4.078131592
